S.No.,Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,State Code,State Name
165,252084,Mormugao,1307301,23,Mormugao (M Ci) - Ward No. 23,30,Goa
166,252061,Mapusa,1437,2,Mapusa (M Cl) - Ward No.2,30,Goa
167,252084,Mormugao,37262,16,Mormugao (M Cl) - Ward No.16,30,Goa
168,252071,City Corporation Panaji,1443,10,Panaji (M Cl) - Ward No.10,30,Goa
169,252071,City Corporation Panaji,932798,24,Panaji (Mci) - Ward No.24,30,Goa
170,252084,Mormugao,37248,2,Mormugao (M Cl) - Ward No.2,30,Goa
171,252077,Sankhali,1459,3,Sanquelim (M Cl) - Ward No.3,30,Goa
172,252095,Cuncolim,1622,9,Cuncolim (M Cl) - Ward No.9,30,Goa
173,252084,Mormugao,37257,11,Mormugao (M Cl) - Ward No.11,30,Goa
174,252095,Cuncolim,1623,10,Cuncolim (M Cl) - Ward No.10,30,Goa
175,252061,Mapusa,1307293,20,Mapusa (M Ci) - Ward No. 20,30,Goa
176,252097,Quepem,3046941,13,Quepem (M Ci) - Ward No. 13,30,Goa
177,252084,Mormugao,37261,15,Mormugao (M Cl) - Ward No.15,30,Goa
178,252071,City Corporation Panaji,1453,20,Panaji (M Ci) - Ward No.20,30,Goa
179,252100,Canacona,1626,1,Canacona (M Cl) - Ward No.1,30,Goa
180,252071,City Corporation Panaji,932809,30,Panaji (Mci) - Ward No.30,30,Goa
181,252082,Ponda,1307304,15,Ponda (Mci) - Ward No. 15,30,Goa
182,252095,Cuncolim,3055178,14,Cuncolim (M CI) - Ward No. 14,30,Goa
183,252077,Sankhali,1461,5,Sanquelim (M Cl) - Ward No.5,30,Goa
184,252075,Bicholim,74919,8,Bicholim (M Cl) - Ward No.8,30,Goa
185,252071,City Corporation Panaji,1452,19,Panaji (M Ci) - Ward No.19,30,Goa
186,252100,Canacona,1627,2,Canacona (M Cl) - Ward No.2,30,Goa
187,252099,Sanguem,37453,5,Sanguem (M Cl) - Ward No.5,30,Goa
188,252096,Curchorem Cacora,37372,2,Curchorem Cacora (M Cl) - Ward No.2,30,Goa
189,252096,Curchorem Cacora,37377,7,Curchorem Cacora (M Cl) - Ward No.7,30,Goa
190,252097,Quepem,37390,10,Quepem (M Cl) - Ward No.10,30,Goa
191,252095,Cuncolim,1614,1,Cuncolim (M Cl) - Ward No.1,30,Goa
192,252082,Ponda,37246,10,Ponda (M Cl) - Ward No.10,30,Goa
193,252061,Mapusa,1477,12,Mapusa (M Cl) - Ward No.12,30,Goa
194,252099,Sanguem,37457,9,Sanguem (M Cl) - Ward No.9,30,Goa
195,252084,Mormugao,37259,13,Mormugao (M Cl) - Ward No.13,30,Goa
196,252100,Canacona,1630,5,Canacona (M Cl) - Ward No.5,30,Goa
197,252099,Sanguem,37455,7,Sanguem (M Cl) - Ward No.7,30,Goa
198,252087,Margao,7000,19,Margao (Mci) - Ward No.19,30,Goa
199,252084,Mormugao,1307300,22,Mormugao (M Ci) - Ward No. 22,30,Goa
200,252071,City Corporation Panaji,932801,27,Panaji (Mci) - Ward No.27,30,Goa
201,252096,Curchorem Cacora,924821,12,Curchorem Cacora (Mci) - Ward No.12,30,Goa
202,252099,Sanguem,1625,2,Sanguem (M Cl) - Ward No.2,30,Goa
203,252079,Valpoi,74924,3,Valpoi (M Cl) - Ward No.3,30,Goa
204,252087,Margao,1307296,23,Margao (Mci)- Ward No. 23,30,Goa
205,252075,Bicholim,68187,2,Bicholim (M Cl) - Ward No.2,30,Goa
206,252071,City Corporation Panaji,1447,14,Panaji (M Cl) - Ward No.14,30,Goa
207,252057,Pernem,37750,1,Pernem (M Cl) - Ward No.1,30,Goa
208,252084,Mormugao,37263,17,Mormugao (M Cl) - Ward No.17,30,Goa
209,252077,Sankhali,1462,6,Sanquelim (M Cl) - Ward No.6,30,Goa
210,252100,Canacona,1635,10,Canacona (M Cl) - Ward No.10,30,Goa
211,252096,Curchorem Cacora,37380,10,Curchorem Cacora (M Cl) - Ward No.10,30,Goa
212,252100,Canacona,1633,8,Canacona (M Cl) - Ward No.8,30,Goa
213,252071,City Corporation Panaji,1449,16,Panaji (M Cl) - Ward No.16,30,Goa
214,252061,Mapusa,1307288,15,Mapusa (M Ci) - Ward No. 15,30,Goa
215,252057,Pernem,37756,7,Pernem (M Cl) - Ward No.7,30,Goa
216,252071,City Corporation Panaji,1487,3,Panaji (M Cl) - Ward No.3,30,Goa
217,252061,Mapusa,1436,1,Mapusa (M Cl) - Ward No.1,30,Goa
218,252087,Margao,1606,13,Margao (M Cl) - Ward No.13,30,Goa
219,252082,Ponda,932923,13,Ponda (Mci) - Ward No.13,30,Goa
220,252096,Curchorem Cacora,924820,11,Curchorem Cacora (Mci) - Ward No.11,30,Goa
221,252084,Mormugao,37252,6,Mormugao (M Cl) - Ward No.6,30,Goa
222,252075,Bicholim,74920,9,Bicholim (M Cl) - Ward No.9,30,Goa
223,252082,Ponda,37245,9,Ponda (M Cl) - Ward No.9,30,Goa
224,252057,Pernem,37751,2,Pernem (M Cl) - Ward No.2,30,Goa
225,252075,Bicholim,3055173,13,Bicholim (M CI) - Ward No 13,30,Goa
226,252061,Mapusa,1472,7,Mapusa (M Cl) - Ward No.7,30,Goa
