State Code,State Name,District Code,District Name,SubDistrict Code,SubDistrict Name,Village Code,Village Name,Pincode
30,Goa,552,South Goa,5617,Quepem,626934,Assolda,403714
30,Goa,552,South Goa,5617,Quepem,626939,Avedem,403705
30,Goa,552,South Goa,5617,Quepem,626949,Bali,403703
30,Goa,552,South Goa,5617,Quepem,626961,Barcem,403703
30,Goa,552,South Goa,5617,Quepem,626955,Bendordem,403703
30,Goa,552,South Goa,5617,Quepem,924815,Cacora,403706
30,Goa,552,South Goa,5617,Quepem,626956,Cavorem,403705
30,Goa,552,South Goa,5617,Quepem,626967,Cazur,403705
30,Goa,552,South Goa,5617,Quepem,626940,Chaifi,403705
30,Goa,552,South Goa,5617,Quepem,626958,Cordem,403703
30,Goa,552,South Goa,5617,Quepem,626966,Corla,403705
30,Goa,552,South Goa,5617,Quepem,626938,Cotombi,403714
30,Goa,552,South Goa,5617,Quepem,945840,Curchorem,403705
30,Goa,552,South Goa,5617,Quepem,910340,Cusmane,403705
30,Goa,552,South Goa,5617,Quepem,924817,Deao,403705
30,Goa,552,South Goa,5617,Quepem,626950,Fatorpa,403703
30,Goa,552,South Goa,5617,Quepem,626962,Goculdem,403703
30,Goa,552,South Goa,5617,Quepem,626937,Hodar,403706
30,Goa,552,South Goa,5617,Quepem,626957,Maina,403705
30,Goa,552,South Goa,5617,Quepem,626968,Mangal,403704
30,Goa,552,South Goa,5617,Quepem,626945,Molcopona,403704
30,Goa,552,South Goa,5617,Quepem,626946,Molcornem,403704
30,Goa,552,South Goa,5617,Quepem,626953,Morpirla,403703
30,Goa,552,South Goa,5617,Quepem,626942,Nagvem,403704
30,Goa,552,South Goa,5617,Quepem,626952,Naqueri,403723
30,Goa,552,South Goa,5617,Quepem,626959,Padi,403703
30,Goa,552,South Goa,5617,Quepem,626964,Pirla,403705
30,Goa,552,South Goa,5617,Quepem,626960,Quedem,403705
30,Goa,552,South Goa,5617,Quepem,945841,Quepem,403705
30,Goa,552,South Goa,5617,Quepem,626963,Quisconda,403705
30,Goa,552,South Goa,5617,Quepem,626951,Quitol,403703
30,Goa,552,South Goa,5617,Quepem,626941,Sirvoi,403705
30,Goa,552,South Goa,5617,Quepem,626965,Sulcorna,403705
30,Goa,552,South Goa,5617,Quepem,626954,Tiloi,403704
30,Goa,552,South Goa,5617,Quepem,626944,Undorna,403704
30,Goa,552,South Goa,5617,Quepem,626969,Xeldem (Ct),403705
30,Goa,552,South Goa,5617,Quepem,626936,Xelvona,403706
30,Goa,552,South Goa,5617,Quepem,626935,Xic-Xelvona,403706
30,Goa,552,South Goa,5617,Quepem,626943,Zanodem,403703
