District Code,District Name (in English),District Census Code 2011,District Census Code 2001,Sub District Code,Sub District Name (in English),Sub District Census Code 2011,Sub District Census Code 2001,Village Code,Village Name (in English),Village Census Code 2011,Village Census Code 2001,Local Body Code,Local Body Name (in English),State Code,State Name
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626839,Ambeli,626839,18300.0,254401,Cotodem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626770,Anjunem,626770,11300.0,254479,Querim,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626814,Ansolem,626814,15800.0,254375,Birondem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626836,Assodem,626836,18000.0,254401,Cotodem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626830,Birondem,626830,17400.0,254375,Birondem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626802,Bombedem,626802,14600.0,254451,Nagargao,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626807,Buimpal,626807,15100.0,254421,Honda,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626793,Carambolim- Brama,626793,13700.0,254451,Nagargao,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626821,Carambolim-Buzruco,626821,16500.0,254492,Sanvordem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626820,Caranzol,626820,16400.0,254492,Sanvordem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626773,Choraundem,626773,11600.0,254412,Dongurli-Thane,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626780,Codal,626780,12300.0,254451,Nagargao,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626812,Codiem,626812,15600.0,254474,Pissurlem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626823,Codqui,626823,16700.0,254401,Cotodem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626818,Codvol,626818,16200.0,254492,Sanvordem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626790,Compordem,626790,13400.0,254438,Mauxi,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626841,Conquirem,626841,18500.0,254420,Guleli,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626832,Cotorem,626832,17600.0,254401,Cotodem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626815,Cudcem,626815,15900.0,254492,Sanvordem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626808,Cumarconda,626808,15200.0,254474,Pissurlem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626789,Dabem,626789,13300.0,254438,Mauxi,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626831,Damocem,626831,17500.0,254420,Guleli,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626801,Davem,626801,14500.0,254451,Nagargao,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626779,Derodem,626779,12200.0,254451,Nagargao,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626782,Dongurli,626782,12500.0,254412,Dongurli-Thane,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626791,Edorem,626791,13500.0,254451,Nagargao,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626776,Golauli,626776,11900.0,254412,Dongurli-Thane,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626768,Gonteli,626768,11100.0,254479,Querim,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626837,Govanem,626837,18100.0,254401,Cotodem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626828,Guleli,626828,17200.0,254420,Guleli,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626784,Gululem,626784,12700.0,254479,Querim,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626774,Ivrem-Buzruco,626774,11700.0,254412,Dongurli-Thane,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626775,Ivrem-Curdo,626775,11800.0,254412,Dongurli-Thane,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626796,Maloli,626796,14000.0,254451,Nagargao,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626838,Malpona,626838,18200.0,254401,Cotodem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,924819,Massordem,0,,,,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626806,Mauxi,626806,15000.0,254438,Mauxi,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626840,Melauli,626840,18400.0,254420,Guleli,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626786,Morlem,626786,12900.0,254446,Morlem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626804,Nagargao,626804,14800.0,254451,Nagargao,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626813,Naguem,626813,15700.0,254438,Mauxi,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626792,Naneli,626792,13600.0,254412,Dongurli-Thane,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626797,Nanorem,626797,14100.0,254451,Nagargao,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,924821,Nanus,0,,,,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626842,Onda (Ct),626842,13000.0,254421,Honda,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626829,Padeli,626829,17300.0,254375,Birondem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626783,Pale,626783,12600.0,254412,Dongurli-Thane,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626819,Pendral,626819,16300.0,254492,Sanvordem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626809,Pissurlem,626809,15300.0,254474,Pissurlem,30,Goa
