S.No.,Parliament Constituency code,Parliament Constituency ECI Code,Parliament Constituency Name,Assembly Constituency Code,Assembly Constituency ECI Code,Assembly Constituency Name,District Code,District Name,SubDistrict Code,SubDistrict Name,Ward Code,Ward Name,Urban Localbody Code,Urban Localbody Name,Localbody Type,State Code
126,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1485,Panaji (M Cl) - Ward No.1,252071,City Corporation Panaji,Municipal Corporation,30
127,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1453,Panaji (M Ci) - Ward No.20,252071,City Corporation Panaji,Municipal Corporation,30
128,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1455,Panaji (M Ci) - Ward No.22,252071,City Corporation Panaji,Municipal Corporation,30
129,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1454,Panaji (M Ci) - Ward No.21,252071,City Corporation Panaji,Municipal Corporation,30
130,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1445,Panaji (M Cl) - Ward No.12,252071,City Corporation Panaji,Municipal Corporation,30
131,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1445,Panaji (M Cl) - Ward No.12,252071,City Corporation Panaji,Municipal Corporation,30
132,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1439,Panaji (M Cl) - Ward No.6,252071,City Corporation Panaji,Municipal Corporation,30
133,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1485,Panaji (M Cl) - Ward No.1,252071,City Corporation Panaji,Municipal Corporation,30
134,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1444,Panaji (M Cl) - Ward No.11,252071,City Corporation Panaji,Municipal Corporation,30
135,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1446,Panaji (M Cl) - Ward No.13,252071,City Corporation Panaji,Municipal Corporation,30
136,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1450,Panaji (M Ci) - Ward No.17,252071,City Corporation Panaji,Municipal Corporation,30
137,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1487,Panaji (M Cl) - Ward No.3,252071,City Corporation Panaji,Municipal Corporation,30
138,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1448,Panaji (M Cl) - Ward No.15,252071,City Corporation Panaji,Municipal Corporation,30
139,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1450,Panaji (M Ci) - Ward No.17,252071,City Corporation Panaji,Municipal Corporation,30
140,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1488,Panaji (M Cl) - Ward No.4,252071,City Corporation Panaji,Municipal Corporation,30
141,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1440,Panaji (M Cl) - Ward No.7,252071,City Corporation Panaji,Municipal Corporation,30
142,480,1,North Goa,3684,11,Panaji,551,North Goa,,,932799,Panaji (Mci) - Ward No.25,252071,City Corporation Panaji,Municipal Corporation,30
143,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1454,Panaji (M Ci) - Ward No.21,252071,City Corporation Panaji,Municipal Corporation,30
144,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1451,Panaji (M Ci) - Ward No.18,252071,City Corporation Panaji,Municipal Corporation,30
145,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,932801,Panaji (Mci) - Ward No.27,252071,City Corporation Panaji,Municipal Corporation,30
146,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,932799,Panaji (Mci) - Ward No.25,252071,City Corporation Panaji,Municipal Corporation,30
147,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,932798,Panaji (Mci) - Ward No.24,252071,City Corporation Panaji,Municipal Corporation,30
148,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1452,Panaji (M Ci) - Ward No.19,252071,City Corporation Panaji,Municipal Corporation,30
149,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1453,Panaji (M Ci) - Ward No.20,252071,City Corporation Panaji,Municipal Corporation,30
150,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1447,Panaji (M Cl) - Ward No.14,252071,City Corporation Panaji,Municipal Corporation,30
151,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1439,Panaji (M Cl) - Ward No.6,252071,City Corporation Panaji,Municipal Corporation,30
152,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,932802,Panaji (Mci) - Ward No.28,252071,City Corporation Panaji,Municipal Corporation,30
153,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1448,Panaji (M Cl) - Ward No.15,252071,City Corporation Panaji,Municipal Corporation,30
154,480,1,North Goa,3684,11,Panaji,551,North Goa,,,932800,Panaji (Mci) - Ward No.26,252071,City Corporation Panaji,Municipal Corporation,30
155,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1440,Panaji (M Cl) - Ward No.7,252071,City Corporation Panaji,Municipal Corporation,30
156,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1486,Panaji (M Cl) - Ward No.2,252071,City Corporation Panaji,Municipal Corporation,30
157,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1442,Panaji (M Cl) - Ward No.9,252071,City Corporation Panaji,Municipal Corporation,30
158,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,932802,Panaji (Mci) - Ward No.28,252071,City Corporation Panaji,Municipal Corporation,30
159,480,1,North Goa,3685,2,Pernem,551,North Goa,,,37757,Pernem (M Cl) - Ward No.8,252057,Pernem,Municipality,30
160,480,1,North Goa,3685,2,Pernem,551,North Goa,5609,Pernem,37759,Pernem (M Cl) - Ward No.10,252057,Pernem,Municipality,30
161,480,1,North Goa,3685,2,Pernem,551,North Goa,5609,Pernem,37753,Pernem (M Cl) - Ward No.4,252057,Pernem,Municipality,30
162,480,1,North Goa,3685,2,Pernem,551,North Goa,5609,Pernem,37758,Pernem (M Cl) - Ward No.9,252057,Pernem,Municipality,30
163,480,1,North Goa,3685,2,Pernem,551,North Goa,5609,Pernem,37757,Pernem (M Cl) - Ward No.8,252057,Pernem,Municipality,30
164,480,1,North Goa,3685,2,Pernem,551,North Goa,5609,Pernem,37754,Pernem (M Cl) - Ward No.5,252057,Pernem,Municipality,30
165,480,1,North Goa,3685,2,Pernem,551,North Goa,5609,Pernem,37750,Pernem (M Cl) - Ward No.1,252057,Pernem,Municipality,30
