S.No.,District Code,District Name (In English),Sub-District Code,Sub-District Name (In English),Village Code,Village Version,Village Name (In English),Village Name (In Local),Village Category,Village Status,Census 2001 Code,Census 2011 Code,State Code,State Name (In English)
236,552,South Goa,5931,Dharbandora,626973,2,Aglote,,Rural,Inhabitant,30400,626973,30,Goa
237,552,South Goa,5931,Dharbandora,626984,2,Bandoli,,Rural,Inhabitant,31500,626984,30,Goa
238,552,South Goa,5931,Dharbandora,626982,2,Camarconda,,Rural,Inhabitant,31300,626982,30,Goa
239,552,South Goa,5931,Dharbandora,626976,2,Caranzol,,Rural,Inhabitant,30700,626976,30,Goa
240,552,South Goa,5931,Dharbandora,626981,2,Codli,,Rural,Inhabitant,31200,626981,30,Goa
241,552,South Goa,5931,Dharbandora,626977,2,Colem,,Rural,Inhabitant,30800,626977,30,Goa
242,552,South Goa,5931,Dharbandora,626980,2,Cormonem,,Rural,Inhabitant,31100,626980,30,Goa
243,552,South Goa,5931,Dharbandora,626971,2,Darbandora,,Rural,Inhabitant,30200,626971,30,Goa
244,552,South Goa,5931,Dharbandora,626983,2,Moissal,,Rural,Inhabitant,31400,626983,30,Goa
245,552,South Goa,5931,Dharbandora,626975,2,Molem,,Rural,Inhabitant,30600,626975,30,Goa
246,552,South Goa,5931,Dharbandora,626970,2,Piliem,,Rural,Inhabitant,30100,626970,30,Goa
247,552,South Goa,5931,Dharbandora,626972,2,Sancordem,,Rural,Inhabitant,30300,626972,30,Goa
248,552,South Goa,5931,Dharbandora,626979,2,Sangod,,Rural,Inhabitant,31000,626979,30,Goa
249,552,South Goa,5931,Dharbandora,626978,2,Sigao,,Rural,Inhabitant,30900,626978,30,Goa
250,552,South Goa,5931,Dharbandora,626989,2,Sonauli,,Rural,Inhabitant,32000,626989,30,Goa
251,552,South Goa,5931,Dharbandora,626974,2,Surla,,Rural,Inhabitant,30500,626974,30,Goa
252,552,South Goa,5615,Mormugao,626884,1,Arossim,,Rural,Inhabitant,22500,626884,30,Goa
253,552,South Goa,5615,Mormugao,626883,1,Cansaulim,,Rural,Inhabitant,22400,626883,30,Goa
254,552,South Goa,5615,Mormugao,626885,1,Chicalim (Ct),,Rural,Inhabitant,40202000,626885,30,Goa
255,552,South Goa,5615,Mormugao,626880,1,Chicolna,,Rural,Inhabitant,22100,626880,30,Goa
256,552,South Goa,5615,Mormugao,626887,1,Cortalim (Ct),,Rural,Inhabitant,21600,626887,30,Goa
257,552,South Goa,5615,Mormugao,626877,1,Cuelim,,Rural,Inhabitant,21800,626877,30,Goa
